1367,495,1875
824,233,2899
1638,265,3361
1787,222,3323
2275,212,3079
1960,185,2908
22,23,1297
1334,213,2037
1710,209,2397
2666,286,3214
1142,204,2077
2075,234,2108
1815,293,2498
1885,236,2956
1260,281,2904
1272,231,2894
2731,295,2962
2126,144,2130
1684,287,3213
1809,421,2723
1298,297,2919
1239,667,1858
2654,292,2717
120,121,846
2021,115,2201
2149,428,3231
1688,378,1939
1799,228,2898
13,14,2125
1888,221,2709
1584,45,2356
2136,220,2864
2816,224,2940
83,84,848
1152,271,1850
536,247,2241
1224,305,1351
1247,200,1385
1890,398,2764
39,40,1269
1728,221,2884
1157,280,1757
1296,241,1852
792,239,1230
1544,284,2497
1291,238,2875
543,159,1199
867,240,1389
1128,314,1918
1280,441,2950
759,239,1362
2259,207,2963
1415,198,2132
1211,232,2158
106,107,1193
2378,256,3362
2274,382,3128
353,249,1378
1828,299,2119
1701,448,2066
1241,280,2872
20,21,783
1836,187,2518
1902,202,2724
1378,249,2224
2357,273,2483
2526,315,3072
804,241,1350
148,149,868
1867,326,2211
1106,229,1978
1989,283,3178
1899,323,2231
1218,324,2232
1344,225,2116
777,240,2068
1428,325,2221
2087,290,2869
1102,229,2085
1207,327,2010
1229,793,2048
1326,290,1327
1173,228,2752
26,27,1434
870,248,1454
1186,235,1807
772,235,1294
2033,313,2708
864,521,891
1819,383,3217
1249,196,2806
1400,824,2066
1453,319,2014
1107,179,1824
96,97,878
1795,407,2924
1172,424,2871
1704,694,2427
1435,516,1436
66,67,839
1952,306,2819
529,244,1455
2056,738,2709
1948,285,2909
1267,230,1926
1694,294,1901
95,96,854
1399,243,1717
543,341,1411
1417,313,2058
826,342,1455
107,108,1840
797,314,1972
1583,395,2786
818,495,1368
1342,242,2177
1255,299,2059
2217,450,2913
834,346,1380
1358,301,2081
869,243,1399
123,124,835
1354,246,2079
31,32,847
1416,244,1420
858,329,1940
871,322,1394
68,69,823
865,512,1407
85,86,856
1325,245,1985
353,122,539
526,249,873
151,152,2207
860,250,1425
840,204,1715
99,100,855
2365,560,3114
1369,315,2526
2645,979,3145
2343,654,3382
2353,252,2985
1630,278,2627
1859,300,3282
1631,172,3258
2268,258,2978
2438,263,3287
2563,267,2935
1614,267,3098
2803,1126,2935
1669,1053,3287
2286,259,3341
52,53,2102
2508,277,2608
2487,255,3076
3411,1119,3446
2334,286,3270
1689,266,2592
1773,291,2780
2431,215,3157
1605,638,2623
1755,168,2578
2292,368,3168
2342,908,3412
2386,358,3293
2369,262,3345
2282,363,3051
2289,359,2981
1662,362,3017
1585,372,1692
1640,273,2444
2074,1100,2572
37,38,1442
1092,284,1777
2285,1502,3376
2301,375,2318
1719,365,2615
1148,389,2524
2449,553,2972
2027,214,2407
2666,685,2857
1554,356,2983
1591,300,2611
1706,259,2842
1660,263,2415
2267,199,3093
1281,645,1692
1397,216,2505
2016,320,3308
2650,256,3029
2324,378,2815
1652,281,2778
1711,978,3217
1288,295,2731
1216,192,1256
840,334,1459
1164,179,1851
1228,190,1821
2322,597,3237
1293,302,2192
1623,259,3009
1205,276,2805
1395,728,1866
1667,275,2638
1740,453,1776
2492,161,3048
1634,364,2421
1086,269,1577
3273,391,3288
2515,320,2545
1961,741,2526
1845,407,2767
1855,393,2714
1170,298,1831
1274,309,1907
1955,395,2502
1225,296,1943
2660,567,3055
2303,360,3210
1345,413,2128
1224,493,2919
56,57,1745
3020,370,3100
1320,701,2006
1674,274,2802
2192,302,2885
1762,379,2827
1632,358,3010
1680,401,2930
2976,357,3447
1854,277,2750
1697,366,2538
1737,364,2424
1729,619,2674
3039,403,3418
2442,405,2720
865,493,1351
1091,268,1725
2738,260,3115
1835,279,2821
770,450,2133
1105,270,2139
1106,326,1867
1613,365,2418
1197,188,1622
1577,269,2920
1181,224,2101
869,347,1349
2028,782,2822
1994,237,2810
2418,607,3208
1725,268,2552
79,80,1465
1635,255,2487
2991,174,3365
1232,710,1975
792,323,1361
1359,328,1982
1940,329,2628
1384,733,2116
1336,304,1419
3056,588,3445
1200,270,2178
1737,633,1785
2703,419,3057
2029,414,2670
2704,227,3044
1759,434,1810
2762,1057,3115
1820,286,2783
2542,392,2751
1803,303,2833
1236,306,2234
2002,705,2003
769,310,1379
2069,1040,2425
1384,417,2828
1140,270,1936
1572,408,2392
2975,361,3399
2398,373,3204
2049,764,2723
1812,425,1818
1162,429,2230
791,323,1899
1747,276,2809
1651,388,2566
843,317,2026
2359,386,3091
2390,374,3037
2040,288,2672
1669,598,3272
1693,269,2934
1847,300,1859
2609,764,3231
1829,303,2773
1086,410,2484
1712,623,2786
139,140,2208
797,232,1211
7,104,532
542,340,819
89,90,1251
354,250,2160
1462,339,2163
1244,285,1992
1350,491,2010
1219,445,2534
1245,777,2068
1558,278,2634
2038,423,2137
1109,443,2678
851,304,1144
1744,283,1989
1118,316,2129
1322,293,2222
1179,666,1887
2011,446,2514
1898,288,2760
519,317,843
1879,431,2921
810,233,1338
1196,448,2929
140,141,1440
2352,287,2649
1379,310,2233
794,318,1125
538,337,1386
1247,451,2215
40,41,1284
806,307,1364
1310,285,2205
1754,366,2468
533,335,825
825,335,1966
786,223,1240
2588,523,3111
2942,744,2944
1783,456,2076
1250,281,2090
1115,456,2024
1445,314,1884
1704,292,2719
1920,384,2925
2133,231,2916
1116,312,1932
779,309,1377
1121,304,2184
1439,785,2107
761,330,1405
814,335,1376
1117,275,1814
1189,634,2912
1093,274,1763
2014,319,2151
787,316,2036
1257,316,1990
812,345,1342
775,311,1838
777,311,1265
1932,312,2167
1073,317,2011
752,333,1339
1887,666,2640
